iter	Passed	Remaining
440	1260	1598
441	1262	1593
442	1263	1588
443	1265	1584
444	1266	1579
445	1267	1574
446	1270	1571
447	1271	1566
448	1273	1562
449	1274	1557
450	1275	1553
451	1277	1548
452	1278	1543
453	1279	1539
454	1281	1534
455	1282	1530
456	1284	1526
457	1286	1522
458	1287	1517
459	1289	1513
460	1290	1508
461	1291	1504
462	1293	1499
463	1294	1495
464	1295	1490
465	1297	1486
466	1298	1482
467	1300	1478
468	1302	1474
469	1303	1470
470	1305	1465
471	1306	1461
472	1308	1457
473	1309	1453
474	1310	1448
475	1312	1444
476	1313	1440
477	1315	1436
478	1316	1432
479	1318	1427
480	1319	1423
481	1321	1419
482	1322	1415
483	1323	1411
484	1325	1407
485	1326	1402
486	1327	1398
487	1329	1394
488	1331	1391
489	1332	1387
490	1333	1382
491	1335	1378
492	1336	1374
493	1338	1370
494	1339	1366
495	1340	1362
496	1342	1358
497	1343	1354
498	1344	1350
499	1346	1346
500	1348	1342
501	1349	1338
502	1351	1334
503	1352	1330
504	1353	1326
505	1355	1322
506	1356	1318
507	1357	1314
508	1359	1311
509	1360	1307
510	1362	1303
511	1364	1300
512	1365	1296
513	1366	1292
514	1368	1288
515	1369	1284
516	1370	1280
517	1372	1276
518	1373	1273
519	1374	1269
520	1376	1265
521	1378	1262
522	1379	1258
523	1381	1254
524	1382	1250
525	1384	1247
526	1385	1243
527	1386	1239
528	1388	1235
529	1389	1232
530	1390	1228
531	1392	1225
532	1394	1221
533	1395	1217
534	1397	1214
535	1398	1210
536	1400	1207
537	1401	1203
538	1402	1199
539	1404	1196
540	1405	1192
541	1407	1189
542	1408	1185
543	1410	1182
544	1411	1178
545	1412	1174
546	1414	1171
547	1415	1167
548	1416	1164
549	1418	1160
550	1419	1156
551	1421	1153
552	1423	1150
553	1424	1146
554	1425	1143
555	1427	1139
556	1428	1136
557	1429	1132
558	1431	1129
559	1432	1125
560	1434	1122
561	1435	1118
562	1437	1115
563	1439	1112
564	1441	1109
565	1442	1106
566	1444	1102
567	1445	1099
568	1446	1096
569	1448	1092
570	1449	1089
571	1451	1085
572	1452	1082
573	1454	1079
574	1456	1076
575	1457	1072
576	1458	1069
577	1460	1066
578	1461	1062
579	1462	1059
580	1464	1055
581	1465	1052
582	1467	1049
583	1468	1046
584	1470	1043
585	1471	1039
586	1472	1036
587	1474	1033
588	1475	1029
589	1477	1026
590	1478	1023
591	1479	1019
592	1481	1016
593	1482	1013
594	1484	1010
595	1486	1007
596	1487	1004
597	1489	1001
598	1490	997
599	1492	994
600	1494	991
601	1496	989
602	1497	986
603	1499	983
604	1501	980
605	1502	977
606	1504	973
607	1505	970
608	1506	967
609	1508	964
610	1509	960
611	1510	957
612	1512	954
613	1513	951
614	1515	948
615	1516	945
616	1518	942
617	1519	939
618	1520	936
619	1522	932
620	1523	929
621	1524	926
622	1526	923
623	1527	920
624	1529	917
625	1531	914
626	1532	911
627	1533	908
628	1535	905
629	1536	902
630	1537	899
631	1539	896
632	1540	893
633	1542	890
634	1543	887
635	1544	884
636	1546	881
637	1548	878
638	1549	875
639	1550	872
640	1552	869
641	1553	866
642	1554	863
643	1556	860
644	1557	857
645	1558	854
646	1560	851
647	1562	848
648	1563	845
649	1565	842
650	1566	839
651	1567	836
652	1569	833
653	1570	830
654	1571	827
655	1573	825
656	1574	822
657	1576	819
658	1578	816
659	1579	813
660	1581	811
661	1582	808
662	1584	805
663	1585	802
664	1586	799
665	1588	796
666	1589	793
667	1591	790
668	1592	788
669	1594	785
670	1595	782
671	1597	779
672	1598	776
673	1599	773
674	1601	770
675	1602	768
676	1603	765
677	1605	762
678	1607	759
679	1608	757
680	1610	754
681	1611	751
682	1613	748
683	1614	745
684	1616	743
685	1617	740
686	1618	737
687	1620	734
688	1621	732
689	1623	729
690	1625	726
691	1626	724
692	1628	721
693	1629	718
694	1630	715
695	1632	712
696	1633	710
697	1634	707
698	1636	704
699	1638	702
700	1639	699
701	1641	696
702	1642	694
703	1644	691
704	1645	688
705	1647	685
706	1648	683
707	1649	680
708	1651	677
709	1653	675
710	1654	672
711	1656	669
712	1657	667
713	1658	664
714	1660	661
715	1661	659
716	1663	656
717	1664	653
718	1665	651
719	1667	648
720	1669	645
721	1670	643
722	1671	640
723	1673	637
724	1674	635
725	1675	632
726	1677	629
727	1678	627
728	1679	624
729	1681	621
730	1682	619
731	1685	616
732	1686	614
733	1688	611
734	1689	609
735	1691	606
736	1692	604
737	1694	601
738	1695	598
739	1697	596
740	1698	593
741	1700	591
742	1702	588
743	1703	586
744	1704	583
745	1706	580
746	1707	578
747	1708	575
748	1710	573
749	1711	570
750	1713	568
751	1715	565
752	1716	563
753	1717	560
754	1719	557
755	1720	555
756	1722	552
757	1723	550
758	1724	547
759	1726	545
760	1727	542
761	1729	540
762	1730	537
763	1732	535
764	1733	532
765	1734	530
766	1736	527
767	1737	524
768	1739	522
769	1740	519
770	1741	517
771	1743	514
772	1744	512
773	1746	509
774	1747	507
775	1749	504
776	1750	502
777	1751	499
778	1753	497
779	1754	494
780	1756	492
781	1757	489
782	1758	487
783	1760	485
784	1762	482
785	1763	480
786	1764	477
787	1766	475
788	1767	472
789	1768	470
790	1770	467
791	1771	465
792	1772	462
793	1774	460
794	1776	458
795	1778	455
796	1779	453
797	1781	450
798	1782	448
799	1784	446
800	1785	443
801	1786	441
802	1788	438
803	1789	436
804	1791	434
805	1793	431
806	1794	429
807	1795	426
808	1797	424
809	1798	421
810	1800	419
811	1801	417
812	1802	414
813	1804	412
814	1805	409
815	1807	407
816	1808	405
817	1810	402
818	1811	400
819	1812	397
820	1814	395
821	1815	393
822	1817	390
823	1818	388
824	1819	385
825	1821	383
826	1823	381
827	1824	379
828	1825	376
829	1827	374
830	1828	371
831	1830	369
832	1831	367
833	1832	364
834	1834	362
835	1835	360
836	1837	357
837	1838	355
838	1840	353
839	1841	350
840	1842	348
841	1844	346
842	1845	343
843	1847	341
844	1848	339
845	1849	336
846	1851	334
847	1852	332
848	1854	329
849	1855	327
850	1857	325
851	1858	322
852	1860	320
853	1861	318
854	1862	315
855	1864	313
856	1866	311
857	1869	309
858	1871	307
859	1873	304
860	1874	302
861	1876	300
862	1877	298
863	1878	295
864	1880	293
865	1881	291
866	1883	288
867	1885	286
868	1886	284
869	1887	282
